overall,reviewText,summary
5.0,Excellent.,Five Stars
5.0,Very nostalgic game.  It's easy to spend hours again playing old school.,It's easy to spend hours again playing old school
4.0,The station docks both official and knockoff controllers and charges them just fine. My only gripe is that you need to remove the awkward silicone sleeves from the controllers before docking.,Works as intended
5.0,Made a kid happy- that's a win!,Popular game
5.0,good,Five Stars
3.0,"First of all, I want to mention that the bottom part of the thumbsticks are nowhere near as round as the original thumbsticks. This caused big problems for me because the joystick module is bulky and the thumbsticks would not move at all and get stuck because they were too close to the module. I was about to return them until I found a simple mod to fix my problem. I took the pull chain off my ceiling fan and cut off 2 little balls from the chain and shoved a ball into each of the thumbstick holes with a t8 screwdriver.  At this point it was a hit or miss if this fixed my problem because the balls will never come out of the thumbsticks, nor could I return them, but sure enough that brought the thumbsticks high enough off the module to clear them all around. With everything back together I am not having any trouble at all anymore. I like that they are right up against the outer shell. It gives them a sturdy feel unlike the original which could move in and out. I gave 3 stars because the product should have worked with no modding necessary, but I will buy again since I know now how to make them work properly . The metal feel is much better and probably will buy metal triggers and buttons to go with these thumbsticks.",Requires modding to work properly; otherwise great product.
5.0,Son loved it.,Five Stars
3.0,"Great manufacting, but the gameplay doesnt feel fine with Forza Motorstorm for xbox one",overall ok
4.0,"The game is fun, but I think it would be better off without experimental units and immense tier-3 artillery pieces.  That aside, my only issue is that the game crashes at least once a day.  I save often, but it's still frustrating.  Also multiplayer just doesn't work at all, and no reason is given.",Good game overall
5.0,"This game is great, it looks so awesome, like I am in control of a game thats on TV. The game play is a little different, but in a good way!",Looks like you are playing with real players!
4.0,The case that the game arrived in was pretty beat up but the game works just fine without issues. The game itself is fun and is a great party game to get a few laughs out of everyone.,The case that the game arrived in was pretty beat up but the game works just fine without ...
5.0,Love this game!!!,Five Stars
5.0,"This is what NHL 17 should have been like. Polished and with the Frostbite engine this game shines on sooo many fronts.

Singleplayer/Journey Mode:
This is what really stood out to me. The story behind Hunter dragged me in and gave me a bit more of an appreciation about soccer. I never really was a soccer fan, but after playing and experiencing this story I respect it as a decent sport. If you have not ever played a soccer game then I highly recommend you start out with this. It teaches you everything and runs you through drills as you progress through the story and make your character better.

Multiplayer/HUT:
I like the fact that when it comes to multiplayer you have options. This game has tons of them. I enjoy mostly playing HUT and it gives you the opportunity to play mini tournaments on different forms of difficulty. It can be overwhelming at times to manage a roster and make squads if you don't really know much about soccer. A little research helps a long way to figure out a system that fits your play style.

Overall:
The gameplay is phenomenal. The graphics and sounds of the Frostbite engine make this game shine. It gets  very addicting once you score your first goal.",First and Best Fifa game
5.0,"I've been a NBA Live fan for a couple of years but after a friend told me about this games I decided to do some research on Youtube to see what the gameplay was like.  Soon after comparing two games,  NBA 2K8 had won me over easily.  The movements in the game are great, exacty what you would expect in a real NBA game.  The AI in the game is also good because each team has their own style of play that you have to adapt to.  Pretty much every feature you want in a basketball games is included.  Online gaming is great very easy to use.  Great all around game.",2K sports has a new fan!
5.0,"I like the Amiibos to be honest. At first I thought they were a waste of time and money but they are actually super cool. I use this one for Hyrule Warriors and Super Smash. It's just like a DLC that keeps giving. For HW I get a new weapon for Link every day and it's super OP. For Super smash I haven't tested it much but you can level up a Link character with it which will give it better abilities and stats.

Other than the practical function...THEY LOOK GREAT. I am a geek at heart and I wear my heart on my sleeve thus I display whatever paraphernalia I can get my hands on all over my apartment. This is no exception. I only have this one but Link stands proud on my entertainment center. I will get more and make a nice little practical decoration out of them.

Overall, great look, great use, and not a waste of money.",Don't knock it until you try it
5.0,Great,Five Stars
5.0,"Some people say that Bully is not simply ""A Grand Theft Auto in highschool."" Well, I am not saying that either. However, this is a Grand Theft Auto style game aimed towards a slightly younger audience. Whether you like Grand Theft Auto or not, this game is definately fun, and worth every penny.
Overview:
You play as a messed-up teenager,Jimmy Hopkins, who arrives at a school known as Bullworth Academy. During the first day, Jimmy is already taunted and hated by everyone. Rockstar truly uses cliches and stereotypical humor in this highschool environment, adding up to be a funny and enjoyable storyline. Beat up nerds, stand up to jocks, and show the drop outs who is boss in this terrific and outstanding Rockstar game.
Complaints:
Many people believe that this game is ""not up to rockstar standards."" I would like to remind everyone that this game is basically a Playstation 2 game, in terms of graphics. This was the original platform, and they merely updated it a bit before releasing it for Xbox 360 players to enjoy as well. Graphics should not everything in a game, and for the time period it was originally made in (2006), they are actually pretty good. However, one problem I noticed with this game is the abundance of glitches. There are several annoying glitches that occur periodically within this game. Nothing too bad, just minor annoyances. Here and there are some glitches that really annoy me, like when someone attacks an adult while you are talking to them and you automatically fail a mission. Other than that, the game runs pretty smoothly.
Gameplay:
Rockstar makes up for the lack of graphics in terms of CONTENT. There is so much to do, it takes over 15 hours to beat. I have played this game many times, and even when I try to complete multiple missions a day, I couldn't beat the game in less than ten hours. My recommendation is to take things slowly, perhaps one or two missions a day, to really enjoy the game. This way, you don't simply rush through it, and you have plenty of time to enjoy the little things Rockstar has prepared for you. Here are just a few examples: You can attend classes, which are like minigames and give rewards, visit a carnival and play carny games, socialize with students, complete missions, run errands, complete jobs, beat up clique members, kiss girls, pick lockers, avoid prefects, ride a bike, race go-karts and bicycles, skate, shop for clothes, upgrade combat moves and so much more. To beat the game 100 percent would take a very long time, and is definately worth the 20 dollars you would pay.
Multiplayer:
The multiplayer option is not all that great, but it is pretty fun. Play through classes and minigames that you would in the normal game, but with a friend. It's not the best thing in the world, but it's fun at a party or something.
Differences:
There are some differences between the Scholarship Edition (this game) and the original. Scholarship Edition features 4 new classes (thats twice the amount than the original), 8 new missions, multiplayer options, more rewards and achievements, 4 new characters, and slightly improved graphics. Basically, if you have the original, it wouldn't be worth buying IF the price was still 60 dollars. However, since it is only 20 dollars, and you don't want to bring out your outdated PS2, this game is definately worth buying. I have both this one and the original, and I don't feel like I wasted any money. The color saturation and graphics are much more enjoyable, the missions are fun (but don't expect them to add a whole lot more gameplay, thirty minutes more at the most), the characters have more little phrases, and you can actually keep track of your achievements. Yes, I would say this game is worth buying even if you have the original. You won't regret it.
Overview:
So, all in all, if you are looking for a game rich with content, that will keep you busy for hours, this game is for you. I have beaten this game a few times and still find it fun. Definately a must have for any gamer, serious or recreational. On a scale of 1 to 10, I would give this game an 9.1. While it's graphics may not be the best, it's a fun game where content means everything. Truly one of Rockstar's greatest.",A Teen Version Of GTA
4.0,Ok  okay,Four Stars
5.0,nice,nice
5.0,So much win here especially for hand held gamers collectors.,Five Stars
5.0,Great service and great product...,Five Stars
5.0,"Great Product, Works wonderfully",Wonderful!
1.0,"This product says it works with Mario-Kart Wii. Unfortunately, not until you open it do you realize it only works with European versions of Mario-Kart Wii.
Not very good since both buyer and seller are in the USA!",Bad Advertizing
5.0,"A nice piece to add to my video game collection. I almost have all of the Amiibo's, and love collecting them.

As described, and will not be opened, so I can not vouch for the game play.",Collector's
5.0,Arrived on time as expected. I can't wait to play this one... thanks.,Arrived on time as expected. I can't wait to play this one... thanks.
5.0,Great,Great
5.0,A must have for Skylander enthusiasts. Your Skylander's Trap Team game adventure isn't complete without this set.,Absolutely Essential
5.0,Great game for a good price. I love playing as a detective. It is alil hard but it kinda makes me wanna keep playing cause it makes me feel like a real detective. if u get stuck just look up a video to help ya.,Great game
4.0,Cool game!,Four Stars
5.0,"Always loved mario bros for years. This 1 is like the classic but they added some extras, like the under water levels and that you can also change into a turtle. Unexpected and fun, there are some more things but i'm not going to spoil it for you. If you liked the past games you will love this one. if your reading this that means you like the game and are interested in it, so do yourself a favor and go buy it :)",classic with some new twist
5.0,great,Five Stars
5.0,I actually bought this for the 3DS - it works for that as well. I have bought screen protectors from Power A before and I've always been satisfied with their accessories. You can't beat this charger for the price; it is probably so cheap since it is only marketed as a DSiXL charger.,A nice little charger
5.0,She works great and I absolutely love her.,Five Stars
4.0,"I didn't pick up an Xbox until the first Ninja Gaiden game came out. It is a good system and at the time I was really impressed with what it offered. No memory cards required and the ability to burn CD's onto the hard drive made it very appealing. However, there were some drawbacks. Having to buy a remote(I can't help it, why buy a remote if you have a controller...) to watch DVD's seemed a bit ridiculous. The first design for the Xbox controller was also terrible in my opinion. Seriously, it was way too big(like holding a turtle shell). The S-controller that they later released was perfect, though. All in all, the first Xbox was a great machine. As far as I know there weren't any big issues like the RROD. I think there was some sort of power cord issue(fire hazard) but that had to do with someone leaving their machine on for days without catching it(these weren't meant to be left on all the time). With some great games over the years, the original Xbox has some reasons to be acknowledged. I give it four and a half stars, only removing half a star because of the remote thing(give me a break).",The X-box
5.0,fun game,Five Stars
5.0,Would of been nice if this bastard was released in the limited edition I originally bought.,Backward release.
5.0,This system rocks and if you to play castlevania 3? Get it on Wii virutal console,Five Stars
5.0,"Compared to this Turtle Beach is trash. Anything compared to this is trash. So many companies make flashy ""gaming headsets"" but this is a true gaming headset. The microphone is great and the sound quality is just absolutely superb, you can use it on PC, Xbox One, PS4, I use it across all 3 and out of the gaming headsets that i've tried before this is definitely the best and for a great value.",This is a true gaming headset.
5.0,Great product fast shipping,Five Stars
5.0,This Game ripped off all the recent game who ripped castlevania off first...chain cross/sword from castlevania inspired kratos' chain daggers so Castlevania ripped it's style back from god of war...and did it very well...this game is an underrated hidden gem,better than expected
5.0,"I like the objects that are ""hinted"" at instead of just named.  A whole game like that would be fun.  Would buy any from this company.  They have not disappointed yet!  Go Pop Cap!",Good graphics
3.0,Wife's Game,Three Stars
5.0,Great Christmas gift.,Perfect last minute gift!
5.0,This makes your joysticks feel so comfortable i love em,Five Stars
5.0,Works perfect and is very stable.  Finally the kinect sees my feet when I play games as it was not high enough just sitting on my tv stand under the tv.  Very happy with this mount clip!  I want to mention that when you adjust the back arm the plastic makes a snapping noise and it sounds like your breaking it.  It's normal though :),The kinect finally sees my feet!
5.0,Still work,Five Stars
5.0,Best game I've ever played. long game with lots of action and very creative. best game I've ever played or owned. Highly recommended!!,Best game I've ever played
5.0,I love this game!,Five Stars
5.0,Do a Good job on time,I well something
5.0,Love the graphics and the challenges of this game. We are big fans of Lord of the rings and Hobbit so this was a must have on our list. Movie realistic graphics come to life in this game. Provides hours of fun and challenges to overcome. We definately have enjoyed this game,Movie realistic graphics and challenging
5.0,"been using it for a long time and it does exactly what it's supposed to do. the lights are a bit bright, so keep it out of eye-shot or it can get a bit distracting.",great charger
5.0,buen producto,Five Stars
4.0,I've always been a big fan of the 2d Naruto games this game us great since it's loaded with content and lots of characters the only down side being that the story mode opponents are though as hell.,Pretty great with only one downside
4.0,"Love playing this game its so much fun, love how diverse the racing environments are lots of fun, a challenge",cool
5.0,"It does some aspects, such as suppression and supply line, even better than my old favorite Panzer General II. However, the built-in scenarios frequently restrict the ways these features can be exploited strategically. While its theoretically great that you can render a heavily fortified enemy force ineffective by cutting off its supply, it does little good when there is a supply point right next to that force, or if any vulnerbilities in an extended supply line is so far off that the time it takes to exploit it is beyond the window for victory. This limitation does however make the few times when such strategy works even more satisfying.

Therefore it is no surprise that supply is where UoC's AI shines the brightest. Because success in scenarios is measured by time, any interruption to the attacker's momentum (and the player is always the attacker against the AI in all pre-made scenarios) can potentially cost victory. A nearly destroyed enemy infantry can move across your rear and cuts off your supply for one turn; even though that infantry is immediately destroyed the next turn, its actions still prevent your armor spearhead from much needed recovery from suppression. In a game where some scenarios measure victory in a handful of turns, even one ineffective turn can be critical. Beyond that, the AI doesn't deviate much from bulking up some units near objective points and holding other units on the front line (another neat UoC feature; you actually see the frontline on the map and it has effects beyond supply). Those frontline units typically do not move unless their supply is cut, even when the tactical importance of their position has long disappeared. I am not faulting the AI in that regard; it's hard to design an AI capable of matching human strategy, more so for a game of some depth like UoC.

And so we come to the truly great part about UoC, the scenario editor (as of v1.04b, which Amazon kindly includes) and PvP capability without which I would have given the game 4 stars. The game has an intuitive interface and easy to grasp mechanics that can be used to create quite deep strategic situations. Not happy with the build-in scenarios? AI not challenging enough for ya? Not a problem; you have to the tools to make your own battles and play with friends and strangers alike.

At this point I feel I should say something about the game's audio/visuals. It's clean and comfortable. You can see everything you need to see without superfluous distractions. The sound is functional and blends into the background. They're just what this kind of game needs.

I was actually compelled to write this review not specifically because of the previous factors. In several scenarios of the campaign, I had to sacrifice my chance at ""brilliant victory"" and settle for ""decisive"" ones because I found the order the objectives were to be captured for ""brilliant"" to be less than ideal, sometimes from the start and sometimes as the battle developed. Then the centerpiece scenario at Stalingrad came around and I won big as the Germans at relatively small cost. The ridiculousness of the situation hit me, and I realized this must be what some of Germany's real generals felt during WWII. You start many scenarios in the game with problems not of your making: units out of supply, frontline breached, etc.--situations that are unthinkable in most other strategy games I've played. Therein lies the beauty of UoC. For almost everyone who fight in it, war is not a clean slate that you get to fight the way you want. For German generals in WWII especially, many were asked to fight in impossible battles from Operation Babarossa onward, professionals doing what they can to resolve problems created by others with unrealistic expectations. Many strategy games take the setting of the Eastern Front during WWII, but few portray the hardship and helplessness of that theatre even to this level. I find UoC quite special in this way, not just glorified chess but a glimmer of a true war game.",A solid turn-based strategy game like the good o' days
5.0,"Best snowboard game hands down. If you enjoyed Skate or Amped 2 then you need this game. I have been longing for a snowboard game like Amped for years and now here we have it. It's an updated next gen snowboard game that you can do all grab, spin, flip variation realistically. Better than Steep, better than Snow no doubt.",This game is LIT!
5.0,"Another great entry in the MarioKart franchise. If you're new to the franchise, it's never been easier to start, with multiple control schemes, choice of automatic or manual steering, difficulty levels, and a huge number of vehicles, characters, and tracks. If you're a veteran, I'd still recommend it for the sheer volume of content and new things such as bikes, tricks, and more racers per race (12).

There are some things that might trouble some veterans, however. Most notable is how swingy the items can really make the game, easilly causing a shift of several places one way or the other with the use of a single item. There are also many attacks which can hit opponents wherever they might be, and there is no practical way to protect yourself against many of these. This can be frustrating. There is also no multiplayer GP mode, although with versus you can pretty much make your own GP mode, and there's even a new team mode. But between all of the new content, and even the return of some stages from other MarioKart games, I would still highly recommend fans pick this one up.",Multiplayer Fun
5.0,very good,Five Stars
4.0,"BUY THIS GAME. flat out. if you have a psp then there is a list of games you must own:

Kingdom Hearts - Birth By Sleep
Final Fantasy - Dissidia
Dragonball z - Tenkaichi tag team
Final Fantasy - Crisis Core

even if you aren't a fan of the games' series,... these are all HUGE HITS. theres a reason why they are popular",a perfect blend
5.0,Works great,Five Stars
3.0,"was entertaining to play, but graphics and gameplay definitely did not meet up with my expectations, just seems more colorful rather than detailed",okay
5.0,Works great! Love the design!,Five Stars
4.0,"The microphone quality is really good and is quite lightweight, but might hurt your ears after hours of use.",Great headset for the price
5.0,"My other cables didn't charge the 3ds while playing it only in sleep mode, but this one I can play and charge at same time.  Definitely good product.",Definitely good product.
1.0,did not work as advertised .  needed internet to use,One Star
4.0,"My grandson loves this game system.  The only problem was having to register with Nintendo and establish an account to download the game.  He has an identical unit at his mother's but they have the disc and didn't have to register for an account.  The process is also convoluted and confusing, but not insurmountable.",Super Mario Maker Console Deluxe Set
5.0,Sick,Five Stars
5.0,"A Christmas gift for my grandson, he is loving it!  There are a lot of violent video games for kids, but this one is just right.",Great kids' video game!
3.0,"Bethesda didn't make this add on - obsidian was contracted to make it.  in a lot of ways, they improved it.  It's grittier, more real but also can be unforgivingly difficult.  Radiation in any irradiated area builds up much quicker.  Too quick, in fact.  The many different ammo types become a real pain rather than adding a level of interest.  All of your equipment, ammo, etc is a phenomenal money sink.  You will find yourself farming enemy spawns over and over again just to be able to afford some basic ammo.  That got tedious and tiring very fast.  It's also somewhat linear.  You are forced along a certain route.  Now, it's not a terribly narrow route but none the less it is a route.  You don't have the same wander freedom as you did in the original.  I sunk over a 100 hours into this and never made it to new vegas.  You don't have any real housing until you get there and are deep into the story - which again, is a pain in the ass.  If you're more of an ""old school"" (think early 90's) gamer then you'll love it.  If you wish old school would have stayed in the past where it belongs then it's probably not for you.",different developer - different product
5.0,"It has been a year, works great and no problems what so ever",works great and no problems what so
5.0,THANKX!,Five Stars
5.0,"This sleeves works great with my slim ps vita, you can add a game or two plus a sd in the front pocket.",This sleeves works great with my slim ps vita
5.0,"I like the first one and wanted to get the next one and it goes on with some more harder games . But fun to play. The games are like the computer , your time goes fast when you got a good game to play. And I thank Amazon for there out standing work of getting the best stuff to me. All the stuff I got has been what they say on Amazon . And orders have been on time and product have been great.",Touchmaster 2
4.0,fun game with way to many microtranactions. and if you preordered it you have to check your email and order it via a promotion code. and wait even longer. the game is fun at least so 4 stars.,Great for rich kids!
5.0,"i got this for my husband and i think he will love it. he has been waiting for this to come to the one so long.
this will be a good Christmas.",love the music
4.0,4/5,Four Stars
4.0,"I wasn't expecting to enjoy this game quite as much as I have been. This game comes with a decent diversity of game modes. Unlike other games in the series, this entry is clearly geared toward welcoming new players into the fold. To that effect, a surprisingly lengthy 'campaign' mode introduces you both to the stories from previous games as well as to the controls, giving you advice on various moves and strategies. The 'story' in this is nigh-incomprehensible at points, but what is important is how it allows new players to become acquainted with the DOA universe.

The gameplay itself is, as always with DOA, fantastic. Eschewing the combo-heavy action of games like Street Fighter, DOA: Dimensions is more tactical and might be likened to a complex game of rock, paper, scissors. You can, of course, get through quite a number of fights without any kind of discernible strategy, just punching and kicking stupidly, but you'll get creamed if you attempt this in some of the game's harder modes and difficulties.

There are various modes on display, such as tag battles, survival battles, and more classic arcade-style assortments of enemies. This title also sports a fluid and workable (if somewhat restricting) online battle system. I suppose I should mention the showcase mode as well, which allows you to take 3D photos of figurines of the various fighters that you win through completing challenges, but most people won't spend much time on this aspect of the game.

Control-wise, I am fairly impressed with what is on offer here. The circle pad and various buttons allows for fluid fighting, but there are also touch-screen buttons that allows the player to execute various commands automatically. I personally have no use for this control style, as, even though I kind of suck at fighting games, I still like the jerks and jabs associated with moving an analog stick around and pushing physical buttons. It is nice, though, for people who aren't accustomed to the fighter genre and might have difficulties with the default control style.

The number of unlockables in this title is fantastic. Besides the large number of figurines, there are quite a few unlockable characters. The true star of this game, however, is the large number of costumes you can unlock for virtually every character. Many of the characters have 3 or 4 costumes that can be unlocked through completing various in-game achievements, and then have 3 or 4 more costumes that can be downloaded (more on that in a moment). This leads to a variety of looks you can provide for almost any given character.

The downloadable aspect of this title is simply awesome. Every day, according to certain release schedules (re-releases of the same costume information are continuing into 2012, which is good for newcomers and bad, I suppose, for early adopters), new downloadable costumes are being released for various characters. Once a week there are special 'throw-down' battles that can be downloaded onto your 3DS. Some of these battles are surprisingly tough, and they can help build your ranking for online battles. The information is automatically downloaded when you turn on your 3DS' wireless capability and close it so that it goes to spotpass. If the information downloads successfully, a little dot appears on the avatar for the game when you're in the main menu, and when you start the game, directly after the title screen, a notification will pop up letting you know what was downloaded. Very useful, and these constant digital releases help keep the game in my 3DS and thus also lead to me playing it more often (almost every day).

The graphics themselves, in 2D, are fairly impressive. It looks better than every game that came before DOA:4. Cutscenes are unimpressive, however, as they aren't full motion.

Also worth noting is that the language options for this title can be customized. I switch between the Japanese and English language options quite a bit.

This review wouldn't be complete if I didn't mention the fanservice/cheesecake factor that is prevalent in this series, and especially in this game. This series became (in)famous partially due to the attention the programmers payed to the breast movements of the female fighters. The breasts are floppy and fluid to the extent that they seem to obey their own set of physics in the battles and elsewhere. The gyroscope function of the 3DS can even be used to shake the breasts of the female figurines in showcase mode (which helps to add considerably to that mode's oddly voyeuristic feel). Moreover, the costumes on these ladies (especially the downloadable ones) can be very skimpy and/or kinky. Consider that at least two female fighters can be dressed up in cat ears and skin-tight leotards which take care to preserve an ample amount of cleavage in the breast area. This will be a definite pro for some and a con to others. This game's focus on T&A will come across as either awesome or creepy, depending upon your personal temperament and proclivities. If you're uncomfortable with women being dressed and presented as sex objects, I'd advise you to either avoid this game entirely or else only play one of the male characters.

There aren't too many problems with this game, but a very big one for me is the implementation of 3D. It's not that the 3D looks bad (although some uses of it are better than others: for instance, it is very awesome, when you play this game for the first time, to watch the game's title pop-out at you in the opening screen, but cut-scenes and battles look pretty unimpressive in 3D), but that turning the 3D on during battles cuts the frame rate from 60 fps to 30! This isn't a problem for some other games with less-than-stellar 3D processing, such as certain turn-based strategy games, but a fighting game needs fast gameplay, and the 3D just kills this title's speed. This wouldn't be a huge issue for a budget title, but DOA is a big franchise! Also, I know for a fact that this game could have done better. Mario Kart 7, for instance, both has a far superior 3D effect AND runs at 60 fps with the 3D turned on. Similarly, games like RE: Revelations do great 3D just fine. I play through almost everything on this system with the 3D enabled, even for virtual console games, where the outside border can be given a slight 3D pop. But I just have to turn off the 3D for the battles in this game, which, of course, are the meat-and-potatoes in any fighting game. It doesn't kill my enjoyment of this, obviously, but it does keep it from being a five-star product. A 3D game on a 3D system should be able to process 3D battles without choking on them.

Ultimately, game-play is the most importantly aspect of any game, and DOA: Dimensions shines in this respect. The game is available here on Amazon for under $30, which is an excellent price. Fighting games tend to be one of my less favorite game genres, and yet I've spent quite a bit of time on this game. It is fun. Flawed, but fun. Recommended.",Very fun portable fighter with less-than-stellar implementation of 3D effects
4.0,"These thumb grips, or other quality ones you can find, are a must have to protect the controller rubber wearing off. These do their job well. They fit perfectly and easy on your thumbs. They has started wearing out and become a bit smoother so their durability is average in my opinion. Shop around first since there are many other grips currently available on the market.",They fit perfectly and easy on your thumbs
5.0,Great product!,Five Stars
5.0,"There are many injustices in the world. Amongst gaming these offenses take on the form of games that go under-appreciated despite often being ""better"" than the hyped titles which overshadow them.

Back when I was an early 20 something my best friend was nice enough to share his pc with me and introduce me to Diablo. It was the first game of its' genre I played and I was immediately engrossed by it. Diablo wasn't a game of complexities. In it gamers filled the shoes of a lone adventurer tasked with helping a troubled town via clearing out a foreboding cave of its` demonic inhabitants. Along the way the unlikely hero chugged health and magic potions to survive. A beleaguered slayer of the damned could also buy or find ""better gear"" to prepare for the worst case scenario right before diving back into the bowels of hell. Every once in awhile the wary protagonist encountered a ""boss devil"" or ""boss undead"" which was 5 times more mammoth than anything else encountered before. The ridiculous scaling and size ratio of ""under lords"" when compared to their lesser minions instilled dread and tension in gamers everywhere.

A year or so later I got the Diablo 2 Battle Chest. It had more classes, a more in depth plot, and a bigger world and yet the magic was already wearing thin for me. Blizzard kept fooling around with things behind the scenes. Certain characters such as the paladin got ""nerfed"" while bosses and creatures were changed around to the point the strategy guide that came with the Battle Chest was no longer very helpful. To this day fan-boys still claim Diablo 2 is THE BEST of the pack. I cannot help but to think this vocal majority is too doped up on the opium of nostalgia to have an honest opinion.

Don't misunderstand me. I have endearing memories of Diablo 2 yet for some reason the first Diablo is my favorite between them. I'm probably in the minority so weigh that with a little discernment.

It's my personal viewpoint that Titan Quest Gold takes everything Diablo 2 did and does it better. Set in the world of ancient Greece it chronicles the story of ""The Titans"" emerging from the under world to wreak havoc upon the gods and their mortal followers.

The first thing to take in is the game is beautiful for an isometric dungeon hack. Tall grass sways when you run through it and despite the cornucopia of vibrant colors, detailed flora, impressive water effects, voiced dialogue, and  thick hordes of enemies the frame rate only stutters occasionally.

Classes are also much more varied. Though you start out on one path of mastery you'll eventually get to choose a secondary focus and these ""combinations"" add infinite possibilities. For example when I combined my hunter with a wanderer I got a ""Ranger"". This allowed me to quicken the rate of my healing items, summon a wolf, and gave me bonuses when fighting any opponent of a somewhat bestial nature. By contrast my friend who joined my campaign was an eclectic blend of a warrior and a necromancer. He could call upon a lich, buff his attack damage, and lay waste to just about anything that was unfortunate enough to enter his path! Our co-op lan party was a seamless experience. After partnering up we could do in game trading and share experience.

If you're afraid Greece is going to get tired to look after awhile, Iron-lore has you covered. You'll travel through Sparta, The Silk Road, The Mediterranean, Egypt, the pits of Hades, and along the creepy shores of  the river Styx to get to the bottom of all the unrest and upheaval.  Titan Quest has a robust bestiary of monsters to compliment the exotic locales. If you're the type who studies mythological creatures and ""ancient civilizations"" in general this game will be your chocolate covered cherry topped Sunday!

Accompanying the mass scale slaughtering are countless item drops. Not only can you collect hundreds of weapons, shields, rings, necklaces, and armor pieces but you can also further enhance them via an alchemy system.

Normally the sheer scope of Titan Quest's massive world would make it daunting to explore. Fortunately, a convenient artifact allows participants to instantly portal to any previously visited town whenever they wish.  This device is likewise a two-way dimensional gateway enabling players to return to their dungeon without any hiccups or hassles!

Assuming I had a few points to knit pick it would be the voice acting itself isn't the greatest, there are very few ways to customize your character's appearance beyond a gender choice, and the flow of the narrative never gives you a sense of personal investment or identity.  Aka the flaws that have been with this genre since its' inception are still lingering around like annoying pigeons on the lawn.

For you if

If you are still waiting for Diablo 3 to chug along you cannot ask for much better filler than Titan Quest. Along with the Sacred series it's a standard setter of the hack n slash rpg mold. With great co-op, beautiful visuals, and easy to understand game play TQ makes it easy for gamers to pick it up and play it without unsavory snags of frustration! TQ also is a love letter to ancient myths, legendary heroes, and old world civilizations.

Not for you if

Many players of rpgs eventually move onto more complex examples of the genre. Sometimes we like an rpg with multiple choices that plays out like a well written book. If you can level anything at TQ it is that its' world is bland save for its' combat. Npcs don't give you a choice of diverse actions to respond with and your hero is built solely for collecting loot and slaughtering  droves of baddies. There are gamers out there looking for the next Elder scrolls, the next Mass Effect, the next Witcher, and the next Deus Ex. For them TQ's old fashioned linear conventions could be more tedious than  fun.

How does it compare to the competition?

Sacred Gold and Sacred 2 have the inclusion of mounts whereas TQ is lacking.

However, TQ has a more diverse combination of skills and classes. What seems limited at first opens up later when you realize you can mix and match any two occupations to build a unique character.

Sacred 2 definitely seems much bigger when it comes to the sheer scale  of its' map. Not only that, but Sacred Gold & Sacred 2 are more of an open ended sandbox allowing you to do quests in any order whereas TQ plods you along in a rather linear direction despite a few branching side quests along the way.

For me co-op was more enjoyable in TQ than it was in Sacred 2 and Sacred Gold. Being able to trade gear with your buddy effortlessly and share gold are major pluses TQ does better than Sacred.

The missions seem more varied in the Sacred series but I personally found many of the escort missions to be nay impossible due to the stupid AI of my companions. By contrast TQ's objectives are less frustrating.

Both competitors break even. If you want mounts, a gigantic map, and the ability to do tasks in any order I'd suggest Sacred Gold or Sacred 2 but if you want a wider array of character builds, smoother co-op, and numerous skills TQ should be your main!

Final verdict

As a hack n slash treasure nabbing rpg TQ gets 5 out of 5 karate chops!

As a riveting epic with interesting characters, branching story paths, and unexpected plot twists it gets 1 disappointed sigh of sheer boredom!",Almost flawless gem within its' own sub genre!
4.0,"Bought for a friend. He says it isn't as comfortable as his Razer Blackshark, but he says it's literally $50-80 cheaper. On the mic side, his voice sounds fine so, it seems good for the price.",He says it isn't as comfortable as his Razer Blackshark
5.0,"Super easy installation.  Make sure you charge the battery fully before using your ds.  I charged my 3ds while it was off.  The battery last substantially longer, and the charging port works (although I choose not to use it.)
I would buy this solely for the extended battery.  It is a fantastic offer.",Works as described!
5.0,"I could not wait to play this game, once arrived (which was SO much sooner than estimated) I opened and immediately began to enjoy myself. Sure I don't know how to read Japanese but that didn't matter too much because the gameplay was so amazing. If your worried about navigating through the menus/stats/options there are PLENTY of translation guides online for this game. What makes this game really cool is the customization you have on your Gundam and it's weapons. Also there are challenges and rankings for completed missions. If your worried about a stat limit on your Gundam upgrades there is a secret and difficult way to unlock an option of a much higher stat limit, I myself have not unlocked it for I just started playing. An there are more than just main quest missions, there are extra more difficult missions, versus gameplay like normal Gundam battle free for all, a collecting points game with your AI partner and more. An if your able.. Take it online and battle your Gundams against real players. Supposedly there are around 116 Gundams/Mechas you can unlock in this game... That's INSANE! Oh you can also create your own matchmaking with the ability to change the game options like time limit, max score limit, allowing or disallowing passive, additional skills, changing the music and map to your liking. I've only been playing for maybe 2 hours and I cannot tell you how much fun I've been having. I love all the Gundam series and especially SEED. Not a lot of fans enjoyed SEED but to hell with them, this is worth getting.. I promise you won't regret it. The Japan Imported price is worth it and like I stated at the start, the game got to me here in Delaware QUICK!!!! 5/5",Gundam Game
5.0,"what can i say, it's final fantasy X. lol. all these years later, and this game is still entertaining and amazing as ever. great buy! absolutely stunning graphics!",you won't regret buying this!
